,Unnamed: 0,Source File,Animal Name,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Prey,Name Of Young,Group Behavior,Fun Fact,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Other Name(s),Gestation Period,Habitat,Diet,Litter Size,Lifestyle,Common Name,Number Of Species,Location,Slogan,Group,Skin Type,Top Speed,Lifespan,Weight,Length,Age of Sexual Maturity,Age of Weaning,Temperament,Training,title,genus,species,name
57,57,httpsa-z-animalscomanimalsamano shrimp.html,Amano Shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,Atyidae,Caridina,Caridina multidentata,Insects,Larvae,Solitary,Popular kept in aquariums to keep them clean,,Predators,Row of dark spots along the sides,"Japanese shrimp, Yamato shrimp, algae shrimp",,Freshwater and brackish water,Omnivore,,"Diurnal</li><li class=""list-item"">Solitary",Amano shrimp,1.0,Japan and Taiwan,,,Shell,,2-3 years,,Up to 2 inches,,,,,,,,
58,58,httpsa-z-animalscomanimalsamargasaurus.html,Amargasaurus,Animalia,Chordata,,,Dicraeosauridae,Amargasaurus,Amargasaurus cazaui,,,,,,,,,,,Herbivore,,,,,,,,,,,,,,,,,Amargasaurus,amargasaurus,cazaui,
59,59,httpsa-z-animalscomanimalsamazon parrot.html,Amazon Parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,,,,,"These parrots can be trained to be ""talking birds"" that mimic human speech","The populations of many wild Amazon parrots haven’t been quantified, but 58 percent of these parrots are now considered endangered as of 2021. As of 2020 there were 2361 yellow-naped Amazon parrots, and there are an estimated 9000 to 10,000 red-tailed amazons in the wild. On the other hand, the Imperial amazon is considered critically endangered, and there may be only 50 adult birds in the wild.","Pet trade, habitat destruction",Their colorful feathers,"Sisserou, turquoise-fronted parrot, yellow-shouldered parrot, mercenary amazon, red-tailed parrot, cuca",,"Woodlands, savannas, rainforests, palm groves, cloud forests, moist forests, mountain forests",Herbivore,Two to five,,Amazon Parrot,35.0,"South America, the Caribbean, Mexico, South Africa, Europe",,,Feathers,50 mph,As long as 100 years,7.6 ounces to 32 ounces,10 to 20 inches long,,,,,,,,
60,60,httpsa-z-animalscomanimalsamazon river dolphin (pink dolphin).html,"Not found, error 404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,61,httpsa-z-animalscomanimalsamazon tree boa.html,Amazon Tree Boa,Animalia,Chordata,Reptilia,Squamata,Pythonidae,Corallus,Corallus hortulanus,"mice, rats, lizards, frogs, bats, birds",neonates,"Solitary</li><li class=""list-item"">Solitary except during mating season",Amazon tree boas come in a rainbow of colors.,,Habitat destruction,Large eyes and slender body,"Boa amazónica de jardín, boa arborícola amazónica, boa de los jardines, boa arborícola del amazonas, macabrel",4-5 months,,,4-9,"Nocturnal</li><li class=""list-item"">Diurnal",Garden tree boa,,Amazon forests,,,Scales,,20+ years in captivity,,5-6.5 feet,,,,,,,,
62,62,httpsa-z-animalscomanimalsamazonian royal flycatcher.html,Amazonian Royal Flycatcher,Animalia,,,,,,,"Flies, cicadas, dragonflies, and moths",Chicks,Solitary/Pairs,They use their bright royal-looking crests during mating season,"500,000 to 5 million",deforestation of their wetland and forest homes,fan-shaped crest,,,humid lowland evergreen and second-growth forests,Insectivore,,Diurnal,Amazonian royal flycatcher,2.0,"<a href=""https://a-z-animals.com/animals/location/south-america/"">South America</a>",,,Feathers,,6 years,0.34 to 0.49 ounces,5.9 inches,,,,,,,,
63,63,httpsa-z-animalscomanimalsamberjack.html,Amberjack,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Seriola,Seriola,"Crabs, smaller fish",,Solitary/School,Amberjack can grow up to 200 pounds,,,Large size,"Medregal, Coronado",,Ocean reefs and wrecks,Carnivore,,"Solitary</li><li class=""list-item"">School",,9.0,,,,Scales,,Up to 17 years,40-200 pounds,Up to 6 feet,3-4 years,,,,Amberjack,''[[seriola]]'',,amberjack
64,64,httpsa-z-animalscomanimalsambrosia beetle.html,Ambrosia Beetle,Animalia,Arthropoda,Insecta,Coleoptera,,,,Fungi,Larvae,Solitary,The ambrosia beetle forms a symbiotic relationship with the ambrosia fungi,,,The long oddly shaped shell,,one month,"Anywhere with hardwood trees, conifers, and woody shrubs",Omnivore,up to 60 eggs,,Ambrosia Beetle,,,,,Exoskeleton,,up to one year,1-5mg,0.1-0.3in,A few weeks or months,,,,,,,
65,65,httpsa-z-animalscomanimalsamerican alligator.html,"Not found, error 404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,66,httpsa-z-animalscomanimalsamerican alsatian.html,American Alsatian,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,,Carnivore,,,American Alsatian,,,,,Hair,,,66-88 pounds,,,,"Calm, friendly, and loyal",,,,,
67,67,httpsa-z-animalscomanimalsamerican bulldog.html,American Bulldog,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,American bulldogs are working dogs that have been used on farms and ranches across the country.,,,,,,,Omnivore,8,,American Bulldog,,,Can jump up to 6ft high!,Dog,Hair,,,,,,,Assertive but loyal and friendly,Hard,American Bulldog,,,american bulldog
68,68,httpsa-z-animalscomanimalsamerican bully.html,American Bully,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,Social,"Though the American bully was bred to look intimidating, it makes an extremely friendly family pet!",,,,,,,Omnivore,4-6 puppies,,,,,,,Hair,,,,,,5-6 weeks,,,American Bully,,,american bully
69,69,httpsa-z-animalscomanimalsamerican cocker spaniel.html,American Cocker Spaniel,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,"Merry, outgoing, and eager to please!",,,,,,,Omnivore,4,,American Cocker Spaniel,,,"Merry, outgoing, and eager to please!",Dog,Hair,,,,,,,"Friendly, happy and enthusiastic",Easy,American Cocker Spaniel,,,cocker spaniel
70,70,httpsa-z-animalscomanimalsamerican cockroach.html,American Cockroach,Animalia,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,Periplaneta americana,organic and decaying matter,Nymph,Colony,"Despite its name, actually originated from Africa and the Middle East",,extermination by humans,two sets of wings,"ship cockroach, kakerlac, waterbug and Bombay canary",6-8 weeks,"Moist regions, within manmade structures",Omnivore, 9–10 egg cases on average (up to 90 cases),,"Roach, waterbug",1.0,"North America, Spain, Portugal, Africa, Middle East",,intrusion (then infestation),Exoskeleton,3.4 mph,90 to 706 days,0.105g,29mm – 53mm (1.1in – 2.1in),6-12 months,,,,,,,
71,71,httpsa-z-animalscomanimalsamerican coonhound.html,American Coonhound,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,American coonhounds have the skills to climb trees while pursuing a raccoon or other animal.,,,,,,,Omnivore,7,,American Coonhound,,,Easygoing and people-friendly!,Dog,Hair,,12 years,,,,,Sweet and even-tempered,Medium,,,,
72,72,httpsa-z-animalscomanimalsamerican dog tick.html,American Dog Tick,Animalia,Arthropoda,Arachnida,Ixodida,Ixodidae,Dermacentor,Dermacentor variabilis,Blood,Larvae,Solitary,Main vector of Rocky Mountain spotted fever,,Ingestion by mites or nematodes,Brown bodies with variable tan markings,"Wood tick, dog tick",1-30 days,,Omnivore,"3,000-5,000 eggs",,Dog tick,1.0,North America,,Ticks,Exoskeleton,,1-5 years,,3-15 mm,50-600 days,,,,,,,
73,73,httpsa-z-animalscomanimalsamerican eel.html,American Eel,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla rostrata,"insect larvae, fish, molluscs, bivalves, crustaceans, insects, worms, frogs, plants","Leptocephalus, glass eel, elver, yellow eel",Solitary,Don't eat raw eel! Their blood is poisonous to humans when consumed raw.,"700,000",Human activity,"Long, snakelike body","Atlantic eel, black eel, Boston eel, bronze eel, common eel, freshwater eel, green eel, little eel, river eel, silver eel, slippery eel, snakefish",Unknown,"Freshwater, estuaries, Atlantic Ocean, Sargasso Sea",Omnivore,750 eggs,,American Eel,1.0,East coast of North America,,Solitary,Scales,,15-20 years,Up to 17 pounds,Up to 4 feet,1-4 years,Immediately after birth,,,,,,
74,74,httpsa-z-animalscomanimalsamerican eskimo dog.html,American Eskimo Dog,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,The American Eskimo was once a part of the Barnum and Bailey Circus with which it would tour the country and perform for astounded audiences.,,,,,,,Omnivore,5,,American Eskimo Dog,,,The American Eskimo has splendid all white fur and an upturned tail,Dog,Hair,,13 - 15 years,,,,,Playful and smart,Fairly easy,American Eskimo Dog,,,american eskimo dog
75,75,httpsa-z-animalscomanimalsamerican foxhound.html,American Foxhound,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,The American Foxhound is the state dog of Virginia.,,,,,,,Omnivore,7,,American Foxhound,,,"Sweet, kind, loyal, and very loving!",Dog,Hair,,10 to 12 years,,,,,"Mix of affectionate, loving, and stubborn",Medium,American Foxhound,,,american foxhound
76,76,httpsa-z-animalscomanimalsamerican hairless terrier.html,American Hairless Terrier,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,The American hairless terrier comes in two varieties with one having a very short coat.,,,,,,,Omnivore,,,,,,,,,,,,,,,,,American Hairless Terrier,,,american hairless terrier
77,77,httpsa-z-animalscomanimalsamerican leopard hound.html,American Leopard Hound,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,puppy,,This breed is also known as the American Leopard Cur. The name was formally changed to American Leopard Hound in 2008.,,,,American Leopard Cur,,,Omnivore,5-8 puppies,,,,,,,Hair,42 mph,12-15 years,,,,,"Intelligent, athletic, and friendly",,American Leopard Hound,,,american leopard hound
78,78,httpsa-z-animalscomanimalsamerican paddlefish.html,American Paddlefish,Animalia,Chordata,Actinopterygii,Acipenseriformes,Polyodontidae,Polyodon,Polyodon spathula,,,,,,,,,,"Currently, these fish are only found in the Mississippi River Basin.",,,,,,,,,Smooth,,,,,,,,,,,,
79,79,httpsa-z-animalscomanimalsamerican pit bull terrier.html,American Pit Bull Terrier,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,These dogs are very energetic and would be up for a game at any given point of time,,,,,,,Omnivore,8,,American Pit Bull Terrier,,,These dogs are very energetic and would be up for a game at any given point of time,Working dog,Hair,,8 to 15 years,,,,,"Friendly, loyal, playful, affectionate, and slightly stubborn sometimes",,American Pit Bull Terrier,,,american pit bull terrier
80,80,httpsa-z-animalscomanimalsamerican pugabull.html,American Pugabull,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,Puppy,,"American Pugabulls are medium-sized dogs that weigh between 25 to 70 pounds, and their height measures 12 to 20 inches at the shoulder.",,,,Bullpug,,,,2 to 4 pups,Diurnal,American Pugabull,,,,,Fur,,12-14 years,25 to 70 pounds,,,,Friendly but with protective and aggressive tendencies,,,,,
81,81,httpsa-z-animalscomanimalsamerican pygmy goat.html,American Pygmy Goat,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra aegagrus hircus,,Kid,Herd,Can jump up to 5 feet,,,Small size,"Pygmy Goat, African Pygmy, Dwarf Cameroon",5 months,"Rocky terrain, Hillsides, Plains, Farmland",Herbivore,1-4,,Pygmy goat,,United States,,,Fur,,8-12 years,30-90 lbs,18-33 inches,2-4 months,8 weeks,,,,,,
82,82,httpsa-z-animalscomanimalsamerican robin.html,American Robin,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus Linnaeus,Turdus migratorius,"earthworms, caterpillars, grasshoppers, beetle grubs, spiders, and snails",fledling,,The color “Robin egg blue” is named after the hue of their eggs.,310 million,pesticides,orange chest,,,"woodland, shrubland, and residential",Omnivore,3-5,,American robin,7.0,North America,,,Feathers,36 mph,2 years,75-77g,8-11in,,,,,,,,
83,83,httpsa-z-animalscomanimalsamerican staffordshire terrier.html,American Staffordshire Terrier,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,The American Staffordshire Terrier got its name to distinguish it from the English Staffordshire Terriers that these dogs are originally descended from.,,,,,,,Omnivore,6,,American Staffordshire Terrier,,,Bred to be extremely friendly!,Mastiff,Hair,,,,,,,Dominant and stubborn yet loyal,Should be trained from a very early age using assertive techniques and should be intensively socialised with other dogs,American Staffordshire Terrier,,,american staffordshire terrier
84,84,httpsa-z-animalscomanimalsamerican toad.html,American Toad,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus americanus,"Aquatic vegetation and algae, a wide variety of insects and other invertebrates, slugs, beetles, snails, and earthworms.",Tadpoles,Solitary/Group,They secrete a milky poisonous liquid that can make many animals sick.,"Unknown, due to constant fluctuations in different regions.",Snakes (Eastern hognose snakes),Warts on skin,,2-14 days,"Semi-permanent pool or pond, dense vegetation patches",Omnivore,"4,000-8,000 eggs",,American Toad,3.0,"Semi-permanent pool or pond, dense vegetation patches",,,Permeable,,"Talking about lifespan, they can live more than 10 years if taken care of, usually do not survive more than a year or two in the wild",Less than 1 lbs,50 to 100 mm,2 to 3 years,,,,,,,
85,85,httpsa-z-animalscomanimalsamerican water spaniel.html,American Water Spaniel,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,,Omnivore,5,,American Water Spaniel,,,Friendly and intelligent!,Gun Dog,Hair,,,,,,,"Intelligent, quiet and calm","Should be trained from an early age using short, ongoing sessions as assertive training methods tend to be ineffective",American Water Spaniel,,,american water spaniel
86,86,httpsa-z-animalscomanimalsamerican wirehair.html,American Wirehair,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,,Kittens,Social,American Wirehairs often play fetch with their owners,,,Their coarse and crimpy hair,,,,Omnivore,,,,,,,,Fur,30 mph,14 to 18 years,8 to 15 pounds,,,,Friendly,,American Wirehair,,,american wirehair
87,87,httpsa-z-animalscomanimalsamethystine python (scrub python).html,"Not found, error 404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,88,httpsa-z-animalscomanimalsamphicoelias fragillimus.html,Amphicoelias Fragillimus,Animalia,Chordata,,Sauropoda, Diplodocoidea,Amphicoelia,Amphicoelias Fragillimus,,,,Only one fossil has been found for this dinosaur and it was lost very soon after discovery.,,,,,,,Herbivore,,,,,Argentina,,,Scales,,,,,,,,,,,,
89,89,httpsa-z-animalscomanimalsamur leopard.html,Amur Leopard,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera pardus orientalis,"Deer, Cattle, hares, small mammals",,,,103 as of 2018,Poaching and habitat loss,,,90-105 days,Forests,Carnivore,2-3 cubs,Solitary,Amur leopard,,Russia's Far East,The Amur leopard may be the rarest big cat on Earth!,Mammal,Hair,,10 - 15 years in wild; up to 20 in captivity,25kg - 48kg (55lbs - 106lbs),90 cm - 180 cm (3ft - 6ft) excluding tail,,,,,,,,
90,90,httpsa-z-animalscomanimalsanaconda.html,Anaconda,Animalia,Chordata,Reptilia,Squamata,Boidae,Eunectes,"E. murinus, E. notaeus, E. deschauenseei, E. Beniensis","Rodents, medium sized mammals, fish, amphibians, reptiles",Hatchlings,,They are the heaviest snake in the world,Unknown,"Poaching, habitat loss",Their tremendous weight and length,"Giant anaconda, common anaconda, common water boa, sucuri",6 months,"Swamps, river, heavy forest",Carnivore,20-40,Nocturnal,Anaconda,4.0,South America,,,Scales,10 mph,,,,,,,,,,,
91,91,httpsa-z-animalscomanimalsanatolian shepherd dog.html,Anatolian Shepherd Dog,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,Big livestock dogs possibly resembling the Anatolian Shepherd were mentioned in the Book of Job,,,,,,,Omnivore,5-10 pups,,Anatolian Shepherd Dog,,,Guards it's master's flocks!,Guard,Hair,,11-13 years,80-150 pounds,,,,"Courageous, powerful, protective, calm and devoted.",Should be trained from an early age and respond best to motivational training as they can be dominant and stubborn,,,,
92,92,httpsa-z-animalscomanimalsanchovies.html,Anchovies,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,,,Recently hatched fish and planktons,,School,November 12th is celebrated as National Pizza with the Works Except Anchovies Day,"20,700 metric tons","Halibut, salmon, sharks, bluefish, striped bass, weakfish, and other fishes",Protruding upper jaw that extends to behind their eyes,,,"Salt waters and brackish waters, as well as in temperate waters",Omnivore,,,,144.0,,,,Scales,,4 years,A few ounces,"5 to 6 inches, 10 inches at the maximum",,,,,,,,
93,93,httpsa-z-animalscomanimalsandrewsarchus.html,Andrewsarchus,Animalia,Chordata,Mammalia,Artiodactyla,,Andrewsarchus,Andrewsarchus mongoliensis,"Turtles, carrion, and shellfish.",,,Andrewsarchus is the largest terrestrial mammalian carnivore to have ever lived.,,,Hooved feet with two weight bearing toes.,,,Coastal areas in subtropical and temperate forests,Carnivore,,,,1.0,China,,,,,,2200 pounds,16 feet,,,,,,,,
94,94,httpsa-z-animalscomanimalsangelfish.html,Angelfish,Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,,,,,Social,95% of angelfish eat sponges,Unknown,Water pollution,Brightly colored scales,,1-3 days,Coral reefs,Omnivore,,,Angelfish,90.0,,There are 70 different species!,,Scales,,Up to 15 years,Up to 2 pounds,8 to 12 inches,,,,,,,,
95,95,httpsa-z-animalscomanimalsangelshark.html,"Not found, error 404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,96,httpsa-z-animalscomanimalsangled sunbeam caterpillar.html,Angled Sunbeam Caterpillar,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Curetis,Curetis acuta,,Larvae (caterpillar),Solitary,Create a silk bed that they use to attach themselves to leaves,,Predatrs,Twin periscopes that release tentacles organs to scare off prey,Sunbeams,,Tropical and subtropical forests,Herbivore,,Diurnal,Angled sunbeam,1.0,Southeast Asia,,,Scales,,"2 to 5 weeks (caterpillar), 1 month (adult)",,1 inch,After pupating,,,,,,,
97,97,httpsa-z-animalscomanimalsanglerfish.html,Anglerfish,Animalia,Chordata,Actinopterygii,Lophiiformes,,,,Crustaceans and fish,,Solitary,The anglerfish has a glowing lure on its head to attract unsuspecting prey,Unknown,,The lure,Seadevils,Up to a few weeks,,Omnivore,,,,,,,,Skin,,Up to 25 years,Up to 110lbs,Up to 1.2m (4ft),,,,,Anglerfish,,,anglerfish
98,98,httpsa-z-animalscomanimalsangora ferret.html,Angora Ferret,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela furo,"Mice, rats, gophers, birds, small mammals, small birds, small reptiles, small amphibians.",Pups,Solitary,Was created as an accident.,Unknown,Other household pets,"Long thin body, small nose, long and shiny fur.",Ferret,42 days,"Forests, grasslands.",Carnivore,8,,Angora ferret,1.0,,,,Fur,15 mph,5-9 years,1.5 – 4.5 lbs.,18 – 21 inches,4 – 8 months,7+ weeks,,,,,,
